mesh_id,indication_mesh_id,indication_mesh_term,sim_ontology,sim_semantic,sim_gap,bucket,sample_genes_ontology_side,sample_genes_semantic_side
['D020271'],D006816,Huntington Disease,-4.0,0.9061280488967896,-4.9061280488967896,semantic_only,"APP,GDNF,GRIN1,HDAC1,HTT","APP,GDNF,GRIN1,HDAC1,HTT"
['D054437'],D009190,Myelodysplastic Syndromes,-4.0,0.8794037103652954,-4.879403710365295,semantic_only,"ABL1,ACVRL1,AKT1,BCL2,BCR","ABL1,ACVRL1,AKT1,BCL2,BCR"
['D054437'],D009196,Myeloproliferative Disorders,-4.0,0.8514576554298401,-4.85145765542984,semantic_only,"BTK,FGFR1,FGFR2,FGFR3,JAK2","BTK,FGFR1,FGFR2,FGFR3,JAK2"
['D017445'],D012871,Skin Diseases,-4.0,0.7661092281341553,-4.766109228134155,semantic_only,"CCR5,COL1A1,EGF,ELN,ESR1","CCR5,COL1A1,EGF,ELN,ESR1"
['D020187'],D012893,Sleep Wake Disorders,-4.0,0.7384470701217651,-4.738447070121765,semantic_only,"ADRA1A,CNR1,CSNK1E,GABRA1,GABRA2","ADRA1A,CNR1,CSNK1E,GABRA1,GABRA2"
['D010245'],D010243,Paralysis,-4.0,0.7330487370491028,-4.733048737049103,semantic_only,DRD2,DRD2
['D017445'],D014652,Vascular Diseases,-4.0,0.7302501797676086,-4.730250179767609,semantic_only,"MAPK14,TEK","MAPK14,TEK"
['D006453'],D006457,"Hemoglobinuria, Paroxysmal",-4.0,0.7248706817626953,-4.724870681762695,semantic_only,"C3,CD59","C3,CD59"
['D054988'],D011014,Pneumonia,-4.0,0.7239352464675903,-4.72393524646759,semantic_only,"IL13,IL1B,IL6,TGFB1,TNF","IL13,IL1B,IL6,TGFB1,TNF"
['D054988'],D017563,"Lung Diseases, Interstitial",-4.0,0.7048890590667725,-4.7048890590667725,semantic_only,TGFB1,TGFB1
['D011304'],D034381,Hearing Loss,-4.0,0.7019442319869995,-4.7019442319869995,semantic_only,"ATOH1,FGFR1,FZD4,GDNF,KCNC1","ATOH1,FGFR1,FZD4,GDNF,KCNC1"
['D017445'],D016491,Peripheral Vascular Diseases,-4.0,0.6900025010108948,-4.690002501010895,semantic_only,"AGER,ANGPT1,APOE,CCN1,CXCR4","AGER,ANGPT1,APOE,CCN1,CXCR4"
['D054437'],D015470,"Leukemia, Myeloid, Acute",-4.0,0.6807066202163696,-4.68070662021637,semantic_only,"ABL1,ADA,AKT1,BAK1,BCL2","ABL1,ADA,AKT1,BAK1,BCL2"
['D054437'],D009101,Multiple Myeloma,-4.0,0.6623561382293701,-4.66235613822937,semantic_only,"ABL1,ACVRL1,AKT1,ALB,BCL2","ABL1,ACVRL1,AKT1,ALB,BCL2"
['D020187'],D007319,Sleep Initiation and Maintenance Disorders,-4.0,0.6598254442214966,-4.659825444221497,semantic_only,"CNR1,DRD2,GABRA1,GABRA2,HTR1A","CNR1,DRD2,GABRA1,GABRA2,HTR1A"
['D002113'],D061205,Vascular Calcification,-4.0,0.6537454724311829,-4.653745472431183,semantic_only,ALPL,ALPL
