mesh_id,indication_mesh_id,indication_mesh_term,sim_ontology,sim_semantic,sim_gap,bucket,sample_genes_ontology_side,sample_genes_semantic_side
['D008268'],D057135,Wet Macular Degeneration,0.732,1.0,-0.268,semantic_only,"ADAM15,ANGPT2,APEX1,BDKRB1,BDKRB2","ADAM15,ANGPT2,APEX1,BDKRB1,BDKRB2"
"['D000081208', 'D007674', 'D015432', 'D015785', 'D020246', 'D065766']",D006463,Hemolytic-Uremic Syndrome,0.722,0.9374974966049194,-0.21549749660491946,semantic_only,"C5,C5AR1,CFB,CFD,CFH","C5,C5AR1,CFB,CFD,CFH"
['D012594'],D012595,"Scleroderma, Systemic",0.437,0.9269721508026124,-0.4899721508026124,semantic_only,"AGTR2,CCR2,CD19,COL1A1,CTNNB1","AGTR2,CCR2,CD19,COL1A1,CTNNB1"
['D034721'],D008415,Mastocytosis,0.0,0.910654067993164,-0.910654067993164,semantic_only,"ABL1,BCR,BTK,CSF1R,FYN","ABL1,BCR,BTK,CSF1R,FYN"
['D012594'],D045745,"Scleroderma, Limited",0.434,0.9095888733863832,-0.47558887338638317,semantic_only,"AGTR2,CCR2,CD19,COL1A1,CTNNB1","AGTR2,CCR2,CD19,COL1A1,CTNNB1"
['D000081029'],D006976,"Hypertension, Pulmonary",0.475,0.9088616371154784,-0.4338616371154784,semantic_only,"ACVR1,ACVR2A,AGTR2,BMP2,CDK4","ACVR1,ACVR2A,AGTR2,BMP2,CDK4"
['D020271'],D006816,Huntington Disease,-4.0,0.9061280488967896,-4.9061280488967896,semantic_only,"APP,GDNF,GRIN1,HDAC1,HTT","APP,GDNF,GRIN1,HDAC1,HTT"
['D020370'],D010003,Osteoarthritis,0.409,0.8969429731369019,-0.4879429731369019,semantic_only,"ACAN,ADAMTS4,ADAMTS5,ADORA2A,C5AR1","ACAN,ADAMTS4,ADAMTS5,ADORA2A,C5AR1"
['D006689'],D008228,"Lymphoma, Non-Hodgkin",0.752,0.8942775726318359,-0.14227757263183594,semantic_only,"BAK1,CD22,CD37,CD4,CD40","BAK1,CD22,CD37,CD4,CD40"
['D006008'],D052120,Glycogen Storage Disease Type IIb,0.763,0.8875524997711182,-0.12455249977111815,semantic_only,LAMP2,LAMP2
['D054556'],D020246,Venous Thrombosis,0.719,0.8835949897766113,-0.16459498977661136,semantic_only,"F10,F11,F2,F2R,F7","F10,F11,F2,F2R,F7"
['D012594'],D045743,"Scleroderma, Diffuse",0.413,0.8825833201408386,-0.46958332014083864,semantic_only,"AGTR2,CCR2,CD19,COL1A1,CTNNB1","AGTR2,CCR2,CD19,COL1A1,CTNNB1"
['D054437'],D009190,Myelodysplastic Syndromes,-4.0,0.8794037103652954,-4.879403710365295,semantic_only,"ABL1,ACVRL1,AKT1,BCL2,BCR","ABL1,ACVRL1,AKT1,BCL2,BCR"
['D011086'],D011087,Polycythemia Vera,0.41,0.8790602684020996,-0.46906026840209963,semantic_only,"FLT3,FYN,HAMP,HDAC1,HDAC2","FLT3,FYN,HAMP,HDAC1,HDAC2"
['D012130'],D006255,"Rhinitis, Allergic, Seasonal",0.788,0.8639506101608276,-0.0759506101608276,semantic_only,"ADAMTS4,BTK,CCR3,CYSLTR1,HRH1","ADAMTS4,BTK,CCR3,CYSLTR1,HRH1"
['D055013'],D010003,Osteoarthritis,0.366,0.8566731214523315,-0.49067312145233155,semantic_only,"ADORA3,BDKRB2,CALCR,CLK2,CNR1","ADORA3,BDKRB2,CALCR,CLK2,CNR1"
['D012130'],D012220,Rhinitis,0.579,0.8562272787094116,-0.27722727870941166,semantic_only,"ALOX5,CCR3,HRH1,IL4R,NFKB1","ALOX5,CCR3,HRH1,IL4R,NFKB1"
['D009136'],D020391,"Muscular Dystrophy, Facioscapulohumeral",0.782,0.8555812239646912,-0.07358122396469113,semantic_only,"DUX4L1,MAPK14,MSTN","DUX4L1,MAPK14,MSTN"
['D005128'],D012507,Sarcoidosis,0.233,0.8518370389938354,-0.6188370389938355,semantic_only,"CYP27B1,IL23A,NRP2,TNF","CYP27B1,IL23A,NRP2,TNF"
['D054437'],D009196,Myeloproliferative Disorders,-4.0,0.8514576554298401,-4.85145765542984,semantic_only,"BTK,FGFR1,FGFR2,FGFR3,JAK2","BTK,FGFR1,FGFR2,FGFR3,JAK2"
['D028226'],D000686,Amyloidosis,0.746,0.8495656251907349,-0.10356562519073487,semantic_only,"APCS,APP,B2M,TTR","APCS,APP,B2M,TTR"
['D009136'],D020388,"Muscular Dystrophy, Duchenne",0.781,0.8494477272033691,-0.06844772720336911,semantic_only,"AR,DAG1,DMD,ITGA7,ITGB1","AR,DAG1,DMD,ITGA7,ITGB1"
"['D050171', 'D024821']",D008659,Metabolic Diseases,0.538,0.8407666683197021,-0.3027666683197021,semantic_only,"ACACA,ACACB,ACVR2A,ADORA3,AGT","ACACA,ACACB,ACVR2A,ADORA3,AGT"
['D000686'],D028226,"Amyloidosis, Familial",0.746,0.8398076295852661,-0.09380762958526612,semantic_only,TTR,TTR
['D002313'],D009202,Cardiomyopathies,0.796,0.8308519124984741,-0.03485191249847408,semantic_only,"AGTR2,EPAS1,FGF2,GJA1,LMNA","AGTR2,EPAS1,FGF2,GJA1,LMNA"
['D015207'],D010003,Osteoarthritis,0.404,0.8306983709335327,-0.4266983709335327,semantic_only,"A2M,ACAN,ADAMTS4,ADAMTS5,ADORA2A","A2M,ACAN,ADAMTS4,ADAMTS5,ADORA2A"
['D000341'],D011618,Psychotic Disorders,0.755,0.8197646141052246,-0.0647646141052246,semantic_only,"CACNG8,CHRM1,DRD4,GRIN1,KCNQ2","CACNG8,CHRM1,DRD4,GRIN1,KCNQ2"
