mesh_id,indication_mesh_id,indication_mesh_term,sim_ontology,sim_semantic,sim_gap,bucket,sample_genes_ontology_side,sample_genes_semantic_side
"['D000008', 'D006223', 'D006528', 'D011125', 'D016864', 'D018197', 'D065886']",D065886,Neurodevelopmental Disorders,1.0,-0.0604457296431064,1.0604457296431065,ontology_only,SLC6A4,SLC6A4
"['D002311', 'D002312', 'D002971', 'D006344', 'D006345', 'D010179']",D002312,"Cardiomyopathy, Hypertrophic",1.0,-0.0443758852779865,1.0443758852779865,ontology_only,"MIR208A,MIR499A,MYBPC3","MIR208A,MIR499A,MYBPC3"
"['D008171', 'D001249']",D001249,Asthma,1.0,-0.041599154472351,1.041599154472351,ontology_only,"ADAMTS4,ADORA1,ADRB2,ALOX5,ALOX5AP","ADAMTS4,ADORA1,ADRB2,ALOX5,ALOX5AP"
"['D000740', 'D004909']",D000740,Anemia,1.0,-0.0357768684625625,1.0357768684625626,ontology_only,"ACVRL1,BCL2,BMP6,CSF3R,CXCR4","ACVRL1,BCL2,BMP6,CSF3R,CXCR4"
"['D000008', 'D006223', 'D011125', 'D016864', 'D018197', 'D065886']",D065886,Neurodevelopmental Disorders,1.0,-0.0296792611479759,1.029679261147976,ontology_only,SLC6A4,SLC6A4
"['D009901', 'D005901']",D005901,Glaucoma,1.0,-0.0248620919883251,1.0248620919883251,ontology_only,"AGTR1,BCL2,CAPN1,CDKN1A,GDNF","AGTR1,BCL2,CAPN1,CDKN1A,GDNF"
"['D005199', 'D006223', 'D008661', 'D011471', 'D016864', 'D058627']",D005199,Fanconi Anemia,1.0,0.009369695559144,0.990630304440856,ontology_only,"ALDH2,FANCC,KIT","ALDH2,FANCC,KIT"
"['D021081', 'D012893']",D012893,Sleep Wake Disorders,1.0,0.0165108889341354,0.9834891110658646,ontology_only,"ADORA2A,CNR2,CSNK1D,CSNK1E,GRIA1","ADORA2A,CNR2,CSNK1D,CSNK1E,GRIA1"
"['D000072661', 'D002526', 'D003398', 'D004613', 'D012162', 'D012174', 'D015418', 'D020788', 'D052177', 'D057130']",D000072661,Ciliopathies,1.0,0.0169207043945789,0.9830792956054211,ontology_only,CCDC40,CCDC40
"['D002277', 'D004476', 'D005199', 'D006130', 'D009386', 'D009634', 'D010190', 'D010580', 'D016864', 'D056735']",D005199,Fanconi Anemia,1.0,0.0215140245854854,0.9784859754145147,ontology_only,"ALDH2,FANCC,KIT","ALDH2,FANCC,KIT"
