mesh_id,indication_mesh_id,indication_mesh_term,sim_ontology,sim_semantic,sim_gap,bucket,sample_genes_ontology_side,sample_genes_semantic_side
"['C024058', 'D005977', 'C035661', 'C052203', 'D002210', 'D045782', 'D007651', 'D008762', 'D002723', 'C042836', 'C010922', 'C054188', 'D010875', 'D000108', 'D011760', 'D000225', 'D024502', 'D015091', 'D001622', 'D002087', 'D010767', 'D008293', 'D004151', 'D002331', 'D013450', 'C007558', 'D004880', 'D004896', 'D008314', 'D005942', 'D018698', 'D005973', 'C053168', 'D006151', 'D013400', 'D006626', 'D007210', 'C020381', 'D007736', 'D008298', 'D008659', 'D015415', 'C018332', 'C013111', 'D005971', 'C032007', 'C023495', 'C088117', 'C044228', 'D062367', 'C008698', 'D010070', 'C003089', 'D010649', 'D011730', 'D019289', 'D011801', 'D012255', 'D012459', 'C003342', 'D013805', 'D013806']",D008659,Metabolic Diseases,1.0,0.3045926392078399,0.69540736079216,ontology_only,"ACACA,ACACB,ACLY,ACMSD,AGT","ACACA,ACACB,ACLY,ACMSD,AGT"
"['D003920', 'D003922', 'D003924', 'D006946', 'D007003', 'D044903']",D006946,Hyperinsulinism,1.0,0.2400304228067398,0.7599695771932602,ontology_only,PPARD,PPARD
"['D003920', 'D003922', 'D003924', 'D006946', 'D010179', 'D015835', 'D020820', 'D044903']",D044903,Congenital Hyperinsulinism,1.0,0.0429321564733982,0.9570678435266018,ontology_only,"GCG,GCGR,GLP1R,INSR","GCG,GCGR,GLP1R,INSR"
"['D000081208', 'D007674', 'D015432', 'D015785', 'D020246', 'D065766']",D020246,Venous Thrombosis,1.0,0.3809964060783386,0.6190035939216614,ontology_only,"CR1,F10,F11,F2,F7","CR1,F10,F11,F2,F7"
"['D000081208', 'D007674', 'D015432', 'D015785', 'D020246', 'D065766']",D054179,"Angioedemas, Hereditary",1.0,0.2793810367584228,0.7206189632415771,ontology_only,"CCL2,F12,F2,IL1B,KLKB1","CCL2,F12,F2,IL1B,KLKB1"
"['D003920', 'D003922', 'D003924', 'D006946', 'D010179', 'D015835', 'D020820', 'D044903']",D020820,Dyskinesias,1.0,0.3742797374725342,0.6257202625274658,ontology_only,"ABAT,ADORA1,ADRA2A,DRD2,GLP1R","ABAT,ADORA1,ADRA2A,DRD2,GLP1R"
"['D003920', 'D003922', 'D003924', 'D006946', 'D010179', 'D015835', 'D020820', 'D044903']",D003924,"Diabetes Mellitus, Type 2",1.0,0.0480606108903884,0.9519393891096116,ontology_only,"ABCA1,ABCC8,ACACA,ACVR2B,ADIPOR1","ABCA1,ABCC8,ACACA,ACVR2B,ADIPOR1"
"['D003920', 'D003922', 'D003924', 'D006946', 'D010179', 'D015835', 'D020820', 'D044903']",D003922,"Diabetes Mellitus, Type 1",1.0,0.0343583300709724,0.9656416699290276,ontology_only,"CALCR,CNR1,EGFR,FGFR4,FOXO1","CALCR,CNR1,EGFR,FGFR4,FOXO1"
"['D000081208', 'D007674', 'D015432', 'D015785', 'D020246']",D007674,Kidney Diseases,1.0,0.3872658908367157,0.6127341091632843,ontology_only,"ITGAV,LRP2,MASP2,TXN","ITGAV,LRP2,MASP2,TXN"
"['D003920', 'D003922', 'D003924', 'D006946', 'D010179', 'D015835', 'D020820', 'D044903']",D003920,Diabetes Mellitus,1.0,0.134290874004364,0.865709125995636,ontology_only,"ABCA1,ABCC8,ABCC9,ACACA,ACE","ABCA1,ABCC8,ABCC9,ACACA,ACE"
