source,threshold,n_rows,n_unique_genes,n_unique_gene_indication_pairs
ontology,0.3,1898686,2470,25632
semantic,0.3,892831,2468,25605
ontology,0.35,1681608,2466,25620
semantic,0.35,476290,2453,25309
ontology,0.4,1374909,2463,25586
semantic,0.4,260429,2404,24256
ontology,0.45,1010185,2457,25310
semantic,0.45,151540,2344,22330
ontology,0.5,698496,2444,24938
semantic,0.5,92057,2241,19370
ontology,0.55,471003,2424,24193
semantic,0.55,62244,2128,16774
ontology,0.6,280756,2355,23072
semantic,0.6,43167,2040,14346
ontology,0.65,202319,2302,21985
semantic,0.65,31337,1931,12315
ontology,0.7,151620,2284,20764
semantic,0.7,22488,1854,10423
ontology,0.75,102187,2240,19081
semantic,0.75,14594,1723,8338
ontology,0.8,67004,2176,16510
semantic,0.8,10421,1573,6575
ontology,0.85,49432,2137,14387
semantic,0.85,7482,1444,5434
ontology,0.9,38900,2091,12550
semantic,0.9,5927,1368,4619
ontology,0.95,36685,2074,12066
semantic,0.95,4839,1266,3885
