mesh_id,trait_portal,similarity,source,subsource,n_rows
"['D003924', 'D003928', 'D007676', 'D051436']",CKDpDKDinT2D,1.0,pigean,portal,63
"['D000419', 'D003924']",MA_T2D,1.0,pigean,portal,61
['D003924'],T2D_dom,1.0,pigean,portal,67
['D003924'],T2D_het,1.0,pigean,portal,60
"['D002292', 'D003922', 'D003924', 'D006623', 'D010673', 'D011030', 'D011086', 'D058249']",Hereditary_clear_cell_renal_cell_carcinoma_Orphanet_422526,1.0,pigean,orphanet,6
"['D002318', 'D003924']",AnyCVDinT2D,1.0,pigean,portal,52
"['D000419', 'D003924']",MicroInT2D,1.0,pigean,portal,46
"['D000419', 'D003924']",MacroInT2D,1.0,pigean,portal,64
['D003924'],T2D_insulin-deficient,1.0,pigean,portal,62
['D003924'],T2D_insulin-resistant,1.0,pigean,portal,66
['D003924'],T2D_obesity-related,1.0,pigean,portal,61
"['D000419', 'D003924']",AlbInT2D,1.0,pigean,portal,61
['D003924'],T2D_age-related,1.0,pigean,portal,61
['D003924'],T2D_rec,1.0,pigean,portal,107
['D003924'],T2DadjBMI,1.0,pigean,portal,121
['D003924'],TGinT2D,1.0,pigean,portal,86
['D003924'],YouthT2D,1.0,pigean,portal,91
['D003924'],gcat_trait_insulin_response_measurement,1.0,pigean,gcat,12
"['D003324', 'D003327', 'D003924', 'D017202']",CADinT2D,1.0,pigean,portal,52
"['D003920', 'D003922', 'D003924', 'D006946', 'D007003', 'D044903']",Isolated_permanent_neonatal_diabetes_mellitus_Orphanet_99885,1.0,pigean,orphanet,91
"['D003920', 'D003922', 'D003924', 'D006946', 'D010179', 'D015835', 'D020820', 'D044903']",MODY_Orphanet_552,1.0,pigean,orphanet,86
"['D003920', 'D003922', 'D003924']",gcat_trait_type_2_diabetes_mellitus,1.0,pigean,gcat,106
['D003924'],T2D_autoimmune,1.0,pigean,portal,63
"['D002318', 'D003924']",CVDinT2D,1.0,pigean,portal,63
['D003924'],T2D_add,1.0,pigean,portal,127
"['D003924', 'D058729']",PADinT2D,1.0,pigean,portal,75
"['D003924', 'D003928', 'D007676', 'D051436']",CKD_DNinT2D,1.0,pigean,portal,65
"['D003924', 'D003928']",allDKD_T2D,1.0,pigean,portal,59
