mesh_id,trait_portal,similarity,source,subsource,n_rows
"['D003920', 'D003922', 'D003924']",gcat_trait_type_2_diabetes_mellitus,0.9827268719673156,pigean,gcat,106
['D003924'],T2D,0.8654047250747681,pigean,portal,126
['D003924'],T2D_insulin-deficient,0.8296676874160767,pigean,portal,62
['D003924'],T2D_dom,0.7640965580940247,pigean,portal,67
['D003924'],T2D_age-related,0.758691132068634,pigean,portal,61
['D003920'],gcat_trait_diabetes_mellitus,0.7556521892547607,pigean,gcat,82
['D003924'],YouthT2D,0.7542226314544678,pigean,portal,91
['D003924'],T2D_rec,0.7507960796356201,pigean,portal,107
['D003924'],T2D_insulin-resistant,0.7493388652801514,pigean,portal,66
"['D002318', 'D003924']",AnyCVDinT2D,0.7475249767303467,pigean,portal,52
['D003924'],HypertensioninT2D,0.7431485652923584,pigean,portal,51
['D003924'],T2D_obesity-related,0.7420624494552612,pigean,portal,61
['D003922'],gcat_trait_type_1_diabetes_mellitus,0.7418267726898193,pigean,gcat,30
['D003924'],T2D_het,0.7377185821533203,pigean,portal,60
['D003925'],PVDinT2D,0.729170560836792,pigean,portal,70
"['D002318', 'D003924']",CVDinT2D,0.7199667692184448,pigean,portal,63
['D003924'],T2D_autoimmune,0.7035948634147644,pigean,portal,63
"['D003924', 'D009203']",MIinT2D,0.7030318975448608,pigean,portal,64
"['D003924', 'D020521']",StrokeinT2D,0.7023906111717224,pigean,portal,72
"['D003924', 'D007676', 'D051436']",CKD_T2D,0.7007074356079102,pigean,portal,70
"['D003924', 'D058729']",PADinT2D,0.6956909894943237,pigean,portal,75
"['D003924', 'D007383']",ClaudicationinT2D,0.6925556063652039,pigean,portal,59
['D003924'],T2D_add,0.6912552118301392,pigean,portal,127
['D003924'],T2DadjBMI,0.6885718703269958,pigean,portal,121
['D003929'],NeuropathyinT2D,0.6855562925338745,pigean,portal,66
"['D000419', 'D003924']",MacroInT2D,0.6702724099159241,pigean,portal,64
['D003924'],TGinT2D,0.6696891784667969,pigean,portal,86
"['D003324', 'D003327', 'D003924', 'D017202']",CADinT2D,0.6588855981826782,pigean,portal,52
"['D003924', 'D065626']",NAFLDinT2D,0.6543557643890381,pigean,portal,69
"['D000419', 'D003924']",MicroInT2D,0.6424005031585693,pigean,portal,46
['D003922'],T1D,0.6357598304748535,pigean,portal,42
"['D003924', 'D003928', 'D007676', 'D051436']",CKDpDKDinT2D,0.6348968148231506,pigean,portal,63
"['D000419', 'D003924']",AlbInT2D,0.6330407857894897,pigean,portal,61
"['D000419', 'D003924']",MA_T2D,0.6308853626251221,pigean,portal,61
"['D003924', 'D007676', 'D051436']",CKDinT2D,0.6305397748947144,pigean,portal,70
['none'],TGnonT2D,0.6258364319801331,pigean,portal,128
['D003924'],ESRDinT2D,0.6125417351722717,pigean,portal,67
"['D003924', 'D003928']",allDKD_T2D,0.604840874671936,pigean,portal,59
"['D003924', 'D003928', 'D007676', 'D051436']",CKD_DNinT2D,0.5944734811782837,pigean,portal,65
"['D003924', 'D003928']",lateDKD_T2D,0.5883879661560059,pigean,portal,65
